:,ArgumentIsOptionTest::testOption,ArgumentIsOptionTest::testOptionAndOptionWithArgument,ArgumentIsOptionTest::testOptionWithArgument,HelpFormatterTest::testAccessors,HelpFormatterTest::testAutomaticUsage,HelpFormatterTest::testDefaultArgName,HelpFormatterTest::testFindWrapPos,HelpFormatterTest::testHeaderStartingWithLineSeparator,HelpFormatterTest::testHelpWithLongOptSeparator,HelpFormatterTest::testOptionWithoutShortFormat,HelpFormatterTest::testOptionWithoutShortFormat2,HelpFormatterTest::testPrintHelpWithEmptySyntax,HelpFormatterTest::testPrintOptionGroupUsage,HelpFormatterTest::testPrintOptionWithEmptyArgNameUsage,HelpFormatterTest::testPrintOptions,HelpFormatterTest::testPrintRequiredOptionGroupUsage,HelpFormatterTest::testPrintSortedUsage,HelpFormatterTest::testPrintSortedUsageWithNullComparator,HelpFormatterTest::testPrintUsage,HelpFormatterTest::testPrintWrapped,HelpFormatterTest::testRtrim,HelpFormatterTest::testUsageWithLongOptSeparator,OptionBuilderTest::testBaseOptionCharOpt,OptionBuilderTest::testBaseOptionStringOpt,OptionBuilderTest::testBuilderIsResettedAlways,OptionBuilderTest::testCompleteOption,OptionBuilderTest::testCreateIncompleteOption,OptionBuilderTest::testIllegalOptions,OptionBuilderTest::testOptionArgNumbers,OptionBuilderTest::testSpecialOptChars,OptionBuilderTest::testTwoCompleteOptions,OptionGroupTest::testGetNames,OptionGroupTest::testNoOptionsExtraArgs,OptionGroupTest::testSingleLongOption,OptionGroupTest::testSingleOption,OptionGroupTest::testSingleOptionFromGroup,OptionGroupTest::testToString,OptionGroupTest::testTwoLongOptionsFromGroup,OptionGroupTest::testTwoOptionsFromDifferentGroup,OptionGroupTest::testTwoOptionsFromGroup,OptionGroupTest::testTwoOptionsFromGroupWithProperties,OptionGroupTest::testTwoValidLongOptions,OptionGroupTest::testTwoValidOptions,OptionGroupTest::testValidLongOnlyOptions,OptionTest::testClear,OptionTest::testClone,OptionTest::testGetValue,OptionTest::testHasArgName,OptionTest::testHasArgs,OptionTest::testSubclass,OptionsTest::testDuplicateLong,OptionsTest::testDuplicateSimple,OptionsTest::testGetMatchingOpts,OptionsTest::testGetOptionsGroups,OptionsTest::testHelpOptions,OptionsTest::testLong,OptionsTest::testMissingOptionException,OptionsTest::testMissingOptionsException,OptionsTest::testSimple,OptionsTest::testToString,PatternOptionBuilderTest::testClassPattern,PatternOptionBuilderTest::testEmptyPattern,PatternOptionBuilderTest::testExistingFilePattern,PatternOptionBuilderTest::testNumberPattern,PatternOptionBuilderTest::testObjectPattern,PatternOptionBuilderTest::testRequiredOption,PatternOptionBuilderTest::testSimplePattern,PatternOptionBuilderTest::testURLPattern,PatternOptionBuilderTest::testUntypedPattern,
ArgumentIsOptionTest::testOption ,0,7,4,11,10,9,12,9,20,18,44,6,11,10,49,11,13,13,12,29,6,18,5,5,10,9,7,7,7,9,15,8,15,8,8,8,13,4,10,4,2,10,10,3,4,7,6,6,8,6,5,4,6,17,17,4,6,7,4,7,10,7,5,20,17,3,92,11,13,
ArgumentIsOptionTest::testOptionAndOptionWithArgument ,7,0,4,12,12,11,13,9,21,16,42,10,11,11,46,11,11,12,11,27,12,19,11,11,13,12,13,13,12,13,15,11,12,8,8,8,11,7,7,7,7,7,7,7,9,10,11,12,11,12,11,10,11,16,16,10,11,11,10,10,5,13,7,14,11,8,87,6,14,
ArgumentIsOptionTest::testOptionWithArgument ,4,4,0,11,11,9,12,8,21,17,43,8,11,11,48,12,12,12,11,28,9,19,8,8,10,9,10,10,10,10,15,9,11,8,8,8,12,3,6,3,4,6,6,6,6,9,8,9,9,9,8,7,8,16,16,7,8,9,7,7,8,10,4,18,15,6,90,9,14,
HelpFormatterTest::testAccessors ,11,12,11,0,10,9,10,9,18,18,44,10,9,9,45,10,11,11,10,26,10,15,10,11,9,10,11,10,10,9,15,8,19,13,13,13,15,11,14,11,11,14,14,11,10,10,9,10,8,10,10,10,10,14,17,10,10,10,10,10,13,11,10,20,18,10,89,14,12,
HelpFormatterTest::testAutomaticUsage ,10,12,11,10,0,9,11,8,18,16,40,9,10,9,42,11,10,10,8,23,11,15,11,12,11,11,13,12,12,12,15,11,15,11,11,11,10,10,11,10,10,11,11,9,10,11,8,11,10,12,10,11,12,14,16,11,10,10,11,10,11,13,9,19,16,10,89,12,13,
HelpFormatterTest::testDefaultArgName ,9,11,9,9,9,0,13,6,13,11,37,7,2,4,46,3,4,4,5,25,9,12,9,9,8,5,7,8,7,7,13,9,19,14,14,14,11,8,14,8,8,14,14,8,9,9,9,9,9,9,9,9,8,14,13,9,7,7,9,9,10,10,7,19,16,8,91,10,15,
HelpFormatterTest::testFindWrapPos ,12,13,12,10,11,13,0,12,19,18,44,13,12,12,45,13,13,13,13,25,13,17,12,13,12,13,14,13,13,11,15,11,17,12,12,12,14,13,13,13,12,13,13,13,11,13,11,13,10,13,12,12,13,13,17,12,12,13,12,11,12,14,12,21,18,12,89,13,13,
HelpFormatterTest::testHeaderStartingWithLineSeparator ,9,9,8,9,8,6,12,0,14,10,36,8,7,7,46,8,8,8,8,25,10,16,9,10,10,10,11,10,9,10,15,8,16,12,12,12,12,9,12,9,8,12,12,10,9,9,9,10,9,10,10,9,9,14,16,9,9,10,9,9,9,11,8,18,15,8,90,10,14,
HelpFormatterTest::testHelpWithLongOptSeparator ,20,21,21,18,18,13,19,14,0,11,28,19,11,13,44,11,12,13,12,25,21,3,20,21,16,15,19,19,18,18,13,17,21,21,21,21,17,21,22,21,20,22,22,20,19,17,20,21,19,21,19,19,16,16,12,19,18,16,19,18,20,22,19,20,20,19,89,19,18,
HelpFormatterTest::testOptionWithoutShortFormat ,18,16,17,18,16,11,18,10,11,0,31,17,10,11,42,11,9,9,10,22,18,14,18,19,17,16,18,19,17,18,15,17,15,16,16,16,10,17,16,17,16,16,16,17,17,16,17,18,17,20,16,17,16,15,16,17,15,15,17,15,16,21,16,18,17,16,88,15,17,
HelpFormatterTest::testOptionWithoutShortFormat2 ,44,42,43,44,40,37,44,36,28,31,0,44,35,38,44,35,35,36,34,36,46,31,44,45,42,39,44,45,43,44,35,43,42,43,43,43,39,43,43,43,42,43,43,43,43,43,44,46,44,46,43,43,41,37,30,43,42,40,43,43,41,47,42,41,42,42,86,40,43,
HelpFormatterTest::testPrintHelpWithEmptySyntax ,6,10,8,10,9,7,13,8,19,17,44,0,9,8,50,10,11,10,10,29,2,16,5,4,10,8,4,4,6,9,17,7,18,13,13,13,12,6,13,6,6,13,13,6,5,8,5,2,7,3,4,4,6,16,16,4,4,6,4,10,11,4,6,21,18,5,94,12,15,
HelpFormatterTest::testPrintOptionGroupUsage ,11,11,11,9,10,2,12,7,11,10,35,9,0,3,45,1,3,3,4,24,11,10,11,11,10,6,9,10,9,9,12,10,19,13,13,13,10,10,14,10,10,14,14,10,10,9,11,11,10,11,9,9,7,13,12,9,8,6,9,9,11,12,8,18,15,10,90,10,15,
HelpFormatterTest::testPrintOptionWithEmptyArgNameUsage ,10,11,11,9,9,4,12,7,13,11,38,8,3,0,43,3,5,5,5,25,10,12,11,11,11,9,11,10,10,10,15,10,17,12,12,12,10,10,13,10,9,13,13,9,9,9,10,10,9,11,10,9,10,14,15,9,9,9,9,9,11,12,8,17,15,9,89,10,14,
HelpFormatterTest::testPrintOptions ,49,46,48,45,42,46,45,46,44,42,44,50,45,43,0,45,43,43,43,34,51,44,50,51,47,48,51,51,51,48,45,49,42,42,42,42,40,49,44,49,47,44,44,48,48,48,49,51,48,53,49,49,48,43,47,49,48,46,49,45,45,54,48,42,43,48,78,45,45,
HelpFormatterTest::testPrintRequiredOptionGroupUsage ,11,11,12,10,11,3,13,8,11,11,35,10,1,3,45,0,4,4,5,24,12,10,11,11,10,7,10,11,10,10,13,10,18,13,13,13,11,11,13,11,10,13,13,10,10,10,12,12,10,12,10,9,8,13,12,9,9,7,9,10,11,13,9,17,15,10,89,10,15,
HelpFormatterTest::testPrintSortedUsage ,13,11,12,11,10,4,13,8,12,9,35,11,3,5,43,4,0,1,3,22,13,11,13,13,11,9,11,12,11,11,14,12,18,13,13,13,9,12,13,12,11,13,13,12,12,11,13,13,12,13,11,11,10,12,13,11,10,9,11,11,11,14,10,16,14,11,87,10,14,
HelpFormatterTest::testPrintSortedUsageWithNullComparator ,13,12,12,11,10,4,13,8,13,9,36,10,3,5,43,4,1,0,3,22,12,12,13,13,11,9,11,12,11,11,14,12,18,13,13,13,9,12,13,12,11,13,13,12,12,11,12,12,12,13,11,11,10,12,13,11,10,9,11,11,11,14,10,16,14,11,88,10,14,
HelpFormatterTest::testPrintUsage ,12,11,11,10,8,5,13,8,12,10,34,10,4,5,43,5,3,3,0,23,12,11,12,12,11,8,10,11,10,11,14,11,18,13,13,13,10,11,13,11,11,13,13,11,11,10,12,12,11,12,10,10,9,12,13,10,9,8,10,10,11,13,9,17,15,10,88,10,14,
HelpFormatterTest::testPrintWrapped ,29,27,28,26,23,25,25,25,25,22,36,29,24,25,34,24,22,22,23,0,31,24,29,30,25,26,29,29,29,26,25,27,25,26,26,26,19,28,25,28,27,25,25,28,28,28,28,31,28,31,27,28,27,21,25,28,26,24,28,26,26,32,27,26,26,28,81,25,24,
HelpFormatterTest::testRtrim ,6,12,9,10,11,9,13,10,21,18,46,2,11,10,51,12,13,12,12,31,0,18,5,3,10,8,3,4,6,9,17,7,19,13,13,13,13,7,14,7,7,14,14,7,5,8,4,0,7,2,4,4,6,17,17,4,5,7,4,10,13,3,8,23,20,6,96,14,16,
HelpFormatterTest::testUsageWithLongOptSeparator ,18,19,19,15,15,12,17,16,3,14,31,16,10,12,44,10,11,12,11,24,18,0,17,18,13,12,16,16,16,15,10,15,19,18,18,18,14,18,19,18,17,19,19,17,16,15,17,18,17,18,16,16,14,14,11,16,15,13,16,15,17,19,17,20,18,16,90,17,15,
OptionBuilderTest::testBaseOptionCharOpt ,5,11,8,10,11,9,12,9,20,18,44,5,11,11,50,11,13,13,12,29,5,17,0,2,8,8,4,3,4,7,14,6,18,12,12,12,14,7,13,7,6,13,13,6,4,7,5,5,8,5,5,4,5,16,17,4,5,6,4,8,13,5,8,22,19,7,95,14,16,
OptionBuilderTest::testBaseOptionStringOpt ,5,11,8,11,12,9,13,10,21,19,45,4,11,11,51,11,13,13,12,30,3,18,2,0,9,8,2,3,5,8,15,7,18,12,12,12,14,7,13,7,5,13,13,6,3,6,6,3,8,3,4,3,5,17,17,3,4,6,3,8,13,3,8,23,20,5,95,14,15,
OptionBuilderTest::testBuilderIsResettedAlways ,10,13,10,9,11,8,12,10,16,17,42,10,10,11,47,10,11,11,11,25,10,13,8,9,0,5,7,6,7,6,12,6,20,14,14,14,13,9,15,9,9,15,15,10,9,9,9,10,9,10,8,8,7,11,14,8,8,8,8,10,14,10,10,23,20,9,94,15,14,
OptionBuilderTest::testCompleteOption ,9,12,9,10,11,5,13,10,15,16,39,8,6,9,48,7,9,9,8,26,8,12,8,8,5,0,6,7,7,7,9,7,19,14,14,14,12,8,14,8,7,14,14,9,8,8,9,8,9,8,7,7,5,13,11,7,5,4,7,9,13,9,9,23,20,8,95,14,16,
OptionBuilderTest::testCreateIncompleteOption ,7,13,10,11,13,7,14,11,19,18,44,4,9,11,51,10,11,11,10,29,3,16,4,2,7,6,0,2,4,6,15,6,20,14,14,14,13,7,15,7,7,15,15,8,5,7,7,3,9,3,3,3,4,15,15,3,3,5,3,9,14,3,9,24,21,6,97,15,17,
OptionBuilderTest::testIllegalOptions ,7,13,10,10,12,8,13,10,19,19,45,4,10,10,51,11,12,12,11,29,4,16,3,3,6,7,2,0,4,6,15,5,20,14,14,14,14,7,15,7,7,15,15,8,5,8,6,4,8,4,4,4,5,15,16,4,4,6,4,10,14,4,9,23,20,6,96,15,16,
OptionBuilderTest::testOptionArgNumbers ,7,12,10,10,12,7,13,9,18,17,43,6,9,10,51,10,11,11,10,29,6,16,4,5,7,7,4,4,0,6,15,5,19,14,14,14,14,8,15,8,8,15,15,8,6,6,7,6,8,6,5,5,4,14,16,5,5,6,5,9,13,6,8,23,20,7,95,14,16,
OptionBuilderTest::testSpecialOptChars ,9,13,10,9,12,7,11,10,18,18,44,9,9,10,48,10,11,11,11,26,9,15,7,8,6,7,6,6,6,0,14,6,20,14,14,14,13,8,15,8,9,15,15,9,8,8,8,9,7,9,7,7,8,12,15,7,7,7,7,10,14,9,9,23,20,9,94,15,14,
OptionBuilderTest::testTwoCompleteOptions ,15,15,15,15,15,13,15,15,13,15,35,17,12,15,45,13,14,14,14,25,17,10,14,15,12,9,15,15,15,14,0,14,15,13,13,13,15,16,13,16,14,13,13,16,14,13,14,17,16,17,15,15,12,15,9,15,14,12,15,12,17,18,16,23,20,15,92,17,16,
OptionGroupTest::testGetNames ,8,11,9,8,11,9,11,8,17,17,43,7,10,10,49,10,12,12,11,27,7,15,6,7,6,7,6,5,5,6,14,0,18,13,13,13,13,7,14,7,8,14,14,8,6,6,7,7,7,7,5,5,5,10,15,5,5,6,5,9,12,8,8,21,18,6,92,13,12,
OptionGroupTest::testNoOptionsExtraArgs ,15,12,11,19,15,19,17,16,21,15,42,18,19,17,42,18,18,18,18,25,19,19,18,18,20,19,20,20,19,20,15,18,0,7,7,7,15,13,5,13,14,5,5,15,15,15,17,19,17,19,17,17,17,18,19,17,17,18,17,13,15,20,14,18,16,16,90,15,17,
OptionGroupTest::testSingleLongOption ,8,8,8,13,11,14,12,12,21,16,43,13,13,12,42,13,13,13,13,26,13,18,12,12,14,14,14,14,14,14,13,13,7,0,0,0,12,10,3,10,8,3,3,8,9,10,11,13,11,13,11,11,12,17,17,11,12,12,11,8,11,14,11,20,17,10,92,12,13,
OptionGroupTest::testSingleOption ,8,8,8,13,11,14,12,12,21,16,43,13,13,12,42,13,13,13,13,26,13,18,12,12,14,14,14,14,14,14,13,13,7,0,0,0,12,10,3,10,8,3,3,8,9,10,11,13,11,13,11,11,12,17,17,11,12,12,11,8,11,14,11,20,17,10,92,12,13,
OptionGroupTest::testSingleOptionFromGroup ,8,8,8,13,11,14,12,12,21,16,43,13,13,12,42,13,13,13,13,26,13,18,12,12,14,14,14,14,14,14,13,13,7,0,0,0,12,10,3,10,8,3,3,8,9,10,11,13,11,13,11,11,12,17,17,11,12,12,11,8,11,14,11,20,17,10,92,12,13,
OptionGroupTest::testToString ,13,11,12,15,10,11,14,12,17,10,39,12,10,10,40,11,9,9,10,19,13,14,14,14,13,12,13,14,14,13,15,13,15,12,12,12,0,12,12,12,11,12,12,12,12,12,11,13,13,15,11,12,12,12,13,12,10,9,12,10,11,16,11,18,15,12,90,12,15,
OptionGroupTest::testTwoLongOptionsFromGroup ,4,7,3,11,10,8,13,9,21,17,43,6,10,10,49,11,12,12,11,28,7,18,7,7,9,8,7,7,8,8,16,7,13,10,10,10,12,0,8,0,4,8,8,4,6,8,7,7,8,7,5,4,7,15,15,4,5,7,4,9,8,8,2,18,15,5,91,9,14,
OptionGroupTest::testTwoOptionsFromDifferentGroup ,10,7,6,14,11,14,13,12,22,16,43,13,14,13,44,13,13,13,13,25,14,19,13,13,15,14,15,15,15,15,13,14,5,3,3,3,12,8,0,8,9,0,0,10,10,11,12,14,12,14,12,12,13,17,17,12,12,13,12,9,10,15,9,18,15,11,90,10,14,
OptionGroupTest::testTwoOptionsFromGroup ,4,7,3,11,10,8,13,9,21,17,43,6,10,10,49,11,12,12,11,28,7,18,7,7,9,8,7,7,8,8,16,7,13,10,10,10,12,0,8,0,4,8,8,4,6,8,7,7,8,7,5,4,7,15,15,4,5,7,4,9,8,8,2,18,15,5,91,9,14,
OptionGroupTest::testTwoOptionsFromGroupWithProperties ,2,7,4,11,10,8,12,8,20,16,42,6,10,9,47,10,11,11,11,27,7,17,6,5,9,7,7,7,8,9,14,8,14,8,8,8,11,4,9,4,0,9,9,4,4,6,6,7,8,7,5,4,5,15,15,4,6,6,4,7,10,8,5,20,17,3,92,11,13,
OptionGroupTest::testTwoValidLongOptions ,10,7,6,14,11,14,13,12,22,16,43,13,14,13,44,13,13,13,13,25,14,19,13,13,15,14,15,15,15,15,13,14,5,3,3,3,12,8,0,8,9,0,0,10,10,11,12,14,12,14,12,12,13,17,17,12,12,13,12,9,10,15,9,18,15,11,90,10,14,
OptionGroupTest::testTwoValidOptions ,10,7,6,14,11,14,13,12,22,16,43,13,14,13,44,13,13,13,13,25,14,19,13,13,15,14,15,15,15,15,13,14,5,3,3,3,12,8,0,8,9,0,0,10,10,11,12,14,12,14,12,12,13,17,17,12,12,13,12,9,10,15,9,18,15,11,90,10,14,
OptionGroupTest::testValidLongOnlyOptions ,3,7,6,11,9,8,13,10,20,17,43,6,10,9,48,10,12,12,11,28,7,17,6,6,10,9,8,8,8,9,16,8,15,8,8,8,12,4,10,4,4,10,10,0,5,7,6,7,8,7,5,5,7,16,16,5,5,6,5,8,8,8,5,18,15,5,91,9,13,
OptionTest::testClear ,4,9,6,10,10,9,11,9,19,17,43,5,10,9,48,10,12,12,11,28,5,16,4,3,9,8,5,5,6,8,14,6,15,9,9,9,12,6,10,6,4,10,10,5,0,4,5,5,7,5,3,2,4,16,16,2,4,5,2,5,11,6,6,21,18,3,94,12,14,
OptionTest::testClone ,7,10,9,10,11,9,13,9,17,16,43,8,9,9,48,10,11,11,10,28,8,15,7,6,9,8,7,8,6,8,13,6,15,10,10,10,12,8,11,8,6,11,11,7,4,0,7,8,8,8,6,6,4,15,15,6,5,5,6,6,11,9,8,21,18,6,93,12,15,
OptionTest::testGetValue ,6,11,8,9,8,9,11,9,20,17,44,5,11,10,49,12,13,12,12,28,4,17,5,6,9,9,7,6,7,8,14,7,17,11,11,11,11,7,12,7,6,12,12,6,5,7,0,4,6,6,5,6,6,16,17,6,5,6,6,8,13,7,8,22,19,6,94,14,15,
OptionTest::testHasArgName ,6,12,9,10,11,9,13,10,21,18,46,2,11,10,51,12,13,12,12,31,0,18,5,3,10,8,3,4,6,9,17,7,19,13,13,13,13,7,14,7,7,14,14,7,5,8,4,0,7,2,4,4,6,17,17,4,5,7,4,10,13,3,8,23,20,6,96,14,16,
OptionTest::testHasArgs ,8,11,9,8,10,9,10,9,19,17,44,7,10,9,48,10,12,12,11,28,7,17,8,8,9,9,9,8,8,7,16,7,17,11,11,11,13,8,12,8,8,12,12,8,7,8,6,7,0,8,7,7,8,15,17,7,8,8,7,9,11,9,8,21,18,7,92,12,13,
OptionTest::testSubclass ,6,12,9,10,12,9,13,10,21,20,46,3,11,11,53,12,13,13,12,31,2,18,5,3,10,8,3,4,6,9,17,7,19,13,13,13,15,7,14,7,7,14,14,7,5,8,6,2,8,0,4,4,6,17,17,4,5,7,4,10,13,1,8,23,20,6,96,14,16,
OptionsTest::testDuplicateLong ,5,11,8,10,10,9,12,10,19,16,43,4,9,10,49,10,11,11,10,27,4,16,5,4,8,7,3,4,5,7,15,5,17,11,11,11,11,5,12,5,5,12,12,5,3,6,5,4,7,4,0,1,4,15,15,1,2,4,1,7,12,5,7,22,19,4,94,13,15,
OptionsTest::testDuplicateSimple ,4,10,7,10,11,9,12,9,19,17,43,4,9,9,49,9,11,11,10,28,4,16,4,3,8,7,3,4,5,7,15,5,17,11,11,11,12,4,12,4,4,12,12,5,2,6,6,4,7,4,1,0,4,15,15,0,3,5,0,7,11,5,6,21,18,4,94,12,15,
OptionsTest::testGetMatchingOpts ,6,11,8,10,12,8,13,9,16,16,41,6,7,10,48,8,10,10,9,27,6,14,5,5,7,5,4,5,4,8,12,5,17,12,12,12,12,7,13,7,5,13,13,7,4,4,6,6,8,6,4,4,0,12,13,4,4,3,4,7,11,7,7,21,18,5,95,12,16,
OptionsTest::testGetOptionsGroups ,17,16,16,14,14,14,13,14,16,15,37,16,13,14,43,13,12,12,12,21,17,14,16,17,11,13,15,15,14,12,15,10,18,17,17,17,12,15,17,15,15,17,17,16,16,15,16,17,15,17,15,15,12,0,13,15,13,13,15,15,16,18,16,21,19,15,88,16,14,
OptionsTest::testHelpOptions ,17,16,16,17,16,13,17,16,12,16,30,16,12,15,47,12,13,13,13,25,17,11,17,17,14,11,15,16,16,15,9,15,19,17,17,17,13,15,17,15,15,17,17,16,16,15,17,17,17,17,15,15,13,13,0,15,13,11,15,15,16,18,16,22,20,15,95,16,18,
OptionsTest::testLong ,4,10,7,10,11,9,12,9,19,17,43,4,9,9,49,9,11,11,10,28,4,16,4,3,8,7,3,4,5,7,15,5,17,11,11,11,12,4,12,4,4,12,12,5,2,6,6,4,7,4,1,0,4,15,15,0,3,5,0,7,11,5,6,21,18,4,94,12,15,
OptionsTest::testMissingOptionException ,6,11,8,10,10,7,12,9,18,15,42,4,8,9,48,9,10,10,9,26,5,15,5,4,8,5,3,4,5,7,14,5,17,12,12,12,10,5,12,5,6,12,12,5,4,5,5,5,8,5,2,3,4,13,13,3,0,2,3,7,12,6,7,21,18,4,94,13,15,
OptionsTest::testMissingOptionsException ,7,11,9,10,10,7,13,10,16,15,40,6,6,9,46,7,9,9,8,24,7,13,6,6,8,4,5,6,6,7,12,6,18,12,12,12,9,7,13,7,6,13,13,6,5,5,6,7,8,7,4,5,3,13,11,5,2,0,5,7,12,8,7,22,19,6,94,13,16,
OptionsTest::testSimple ,4,10,7,10,11,9,12,9,19,17,43,4,9,9,49,9,11,11,10,28,4,16,4,3,8,7,3,4,5,7,15,5,17,11,11,11,12,4,12,4,4,12,12,5,2,6,6,4,7,4,1,0,4,15,15,0,3,5,0,7,11,5,6,21,18,4,94,12,15,
OptionsTest::testToString ,7,10,7,10,10,9,11,9,18,15,43,10,9,9,45,10,11,11,10,26,10,15,8,8,10,9,9,10,9,10,12,9,13,8,8,8,10,9,9,9,7,9,9,8,5,6,8,10,9,10,7,7,7,15,15,7,7,7,7,0,11,11,8,21,18,7,94,12,14,
PatternOptionBuilderTest::testClassPattern ,10,5,8,13,11,10,12,9,20,16,41,11,11,11,45,11,11,11,11,26,13,17,13,13,14,13,14,14,13,14,17,12,15,11,11,11,11,8,10,8,10,10,10,8,11,11,13,13,11,13,12,11,11,16,16,11,12,12,11,11,0,14,6,11,8,9,85,1,13,
PatternOptionBuilderTest::testEmptyPattern ,7,13,10,11,13,10,14,11,22,21,47,4,12,12,54,13,14,14,13,32,3,19,5,3,10,9,3,4,6,9,18,8,20,14,14,14,16,8,15,8,8,15,15,8,6,9,7,3,9,1,5,5,7,18,18,5,6,8,5,11,14,0,9,24,21,7,97,15,17,
PatternOptionBuilderTest::testExistingFilePattern ,5,7,4,10,9,7,12,8,19,16,42,6,8,8,48,9,10,10,9,27,8,17,8,8,10,9,9,9,8,9,16,8,14,11,11,11,11,2,9,2,5,9,9,5,6,8,8,8,8,8,7,6,7,16,16,6,7,7,6,8,6,9,0,16,13,4,90,7,13,
PatternOptionBuilderTest::testNumberPattern ,20,14,18,20,19,19,21,18,20,18,41,21,18,17,42,17,16,16,17,26,23,20,22,23,23,23,24,23,23,23,23,21,18,20,20,20,18,18,18,18,20,18,18,18,21,21,22,23,21,23,22,21,21,21,22,21,21,22,21,21,11,24,16,0,3,19,76,10,20,
PatternOptionBuilderTest::testObjectPattern ,17,11,15,18,16,16,18,15,20,17,42,18,15,15,43,15,14,14,15,26,20,18,19,20,20,20,21,20,20,20,20,18,16,17,17,17,15,15,15,15,17,15,15,15,18,18,19,20,18,20,19,18,18,19,20,18,18,19,18,18,8,21,13,3,0,16,79,7,17,
PatternOptionBuilderTest::testRequiredOption ,3,8,6,10,10,8,12,8,19,16,42,5,10,9,48,10,11,11,10,28,6,16,7,5,9,8,6,6,7,9,15,6,16,10,10,10,12,5,11,5,3,11,11,5,3,6,6,6,7,6,4,4,5,15,15,4,4,6,4,7,9,7,4,19,16,0,93,10,12,
PatternOptionBuilderTest::testSimplePattern ,92,87,90,89,89,91,89,90,89,88,86,94,90,89,78,89,87,88,88,81,96,90,95,95,94,95,97,96,95,94,92,92,90,92,92,92,90,91,90,91,92,90,90,91,94,93,94,96,92,96,94,94,95,88,95,94,94,94,94,94,85,97,90,76,79,93,0,84,84,
PatternOptionBuilderTest::testURLPattern ,11,6,9,14,12,10,13,10,19,15,40,12,10,10,45,10,10,10,10,25,14,17,14,14,15,14,15,15,14,15,17,13,15,12,12,12,12,9,10,9,11,10,10,9,12,12,14,14,12,14,13,12,12,16,16,12,13,13,12,12,1,15,7,10,7,10,84,0,13,
PatternOptionBuilderTest::testUntypedPattern ,13,14,14,12,13,15,13,14,18,17,43,15,15,14,45,15,14,14,14,24,16,15,16,15,14,16,17,16,16,14,16,12,17,13,13,13,15,14,14,14,13,14,14,13,14,15,15,16,13,16,15,15,16,14,18,15,15,16,15,14,13,17,13,20,17,12,84,13,0,
