:,LevenbergMarquardtOptimizerTest::testCircleFitting,LevenbergMarquardtOptimizerTest::testCircleFittingBadInit,LevenbergMarquardtOptimizerTest::testControlParameters,LevenbergMarquardtOptimizerTest::testIllConditioned,LevenbergMarquardtOptimizerTest::testInconsistentEquations,LevenbergMarquardtOptimizerTest::testInconsistentSizes,LevenbergMarquardtOptimizerTest::testMath199,LevenbergMarquardtOptimizerTest::testMoreEstimatedParametersSimple,LevenbergMarquardtOptimizerTest::testMoreEstimatedParametersUnsorted,LevenbergMarquardtOptimizerTest::testNoDependency,LevenbergMarquardtOptimizerTest::testNonInversible,LevenbergMarquardtOptimizerTest::testOneSet,LevenbergMarquardtOptimizerTest::testQRColumnsPermutation,LevenbergMarquardtOptimizerTest::testRedundantEquations,LevenbergMarquardtOptimizerTest::testTrivial,LevenbergMarquardtOptimizerTest::testTwoSets,MinpackTest::testMinpackBard,MinpackTest::testMinpackBox3Dimensional,MinpackTest::testMinpackBrownAlmostLinear,MinpackTest::testMinpackBrownDennis,MinpackTest::testMinpackChebyquad,MinpackTest::testMinpackFreudensteinRoth,MinpackTest::testMinpackHelicalValley,MinpackTest::testMinpackJennrichSampson,MinpackTest::testMinpackKowalikOsborne,MinpackTest::testMinpackLinearFullRank,MinpackTest::testMinpackLinearRank1,MinpackTest::testMinpackLinearRank1ZeroColsAndRows,MinpackTest::testMinpackMeyer,MinpackTest::testMinpackOsborne1,MinpackTest::testMinpackOsborne2,MinpackTest::testMinpackPowellSingular,MinpackTest::testMinpackRosenbrok,MinpackTest::testMinpackWatson,
LevenbergMarquardtOptimizerTest::testCircleFitting ,0,1069,133,199,100,88,90,90,153,196,98,93,94,99,113,203,105,128,344,90,120,96,104,122,88,134,134,134,99,104,101,96,109,283,
LevenbergMarquardtOptimizerTest::testCircleFittingBadInit ,1069,0,1157,931,1094,1071,1118,1073,996,970,1084,1080,1087,1091,1131,966,1126,1151,859,1071,1036,1107,1125,1145,1075,1158,1158,1158,1117,1131,1088,1116,1133,880,
LevenbergMarquardtOptimizerTest::testControlParameters ,133,1157,0,268,81,109,59,104,219,260,99,103,88,83,33,266,38,12,393,93,149,55,43,16,91,9,9,9,47,33,78,50,30,336,
LevenbergMarquardtOptimizerTest::testIllConditioned ,199,931,268,0,197,179,222,173,137,143,187,180,193,194,236,140,230,258,247,177,169,213,228,253,177,267,267,267,221,237,209,219,239,179,
LevenbergMarquardtOptimizerTest::testInconsistentEquations ,100,1094,81,197,0,50,47,41,154,196,28,34,16,5,55,201,47,72,347,50,106,30,47,66,46,80,80,80,39,51,51,45,52,284,
LevenbergMarquardtOptimizerTest::testInconsistentSizes ,88,1071,109,179,50,0,65,55,141,178,55,56,49,49,80,184,77,100,339,65,103,55,71,94,64,108,108,108,68,80,70,67,80,274,
LevenbergMarquardtOptimizerTest::testMath199 ,90,1118,59,222,47,65,0,61,168,207,53,54,51,49,41,213,27,50,354,62,114,34,25,46,56,58,58,58,31,27,50,24,38,294,
LevenbergMarquardtOptimizerTest::testMoreEstimatedParametersSimple ,90,1073,104,173,41,55,61,0,125,164,34,34,45,42,79,170,68,94,323,32,95,54,64,89,29,103,103,103,57,73,53,59,76,259,
LevenbergMarquardtOptimizerTest::testMoreEstimatedParametersUnsorted ,153,996,219,137,154,141,168,125,0,69,140,133,151,152,194,71,185,212,268,134,129,170,181,207,134,218,218,218,176,190,156,174,194,197,
LevenbergMarquardtOptimizerTest::testNoDependency ,196,970,260,143,196,178,207,164,69,0,178,174,191,194,234,31,227,253,247,172,157,209,221,248,173,260,260,260,217,231,192,215,236,178,
LevenbergMarquardtOptimizerTest::testNonInversible ,98,1084,99,187,28,55,53,34,140,178,0,14,31,30,70,180,61,89,335,46,100,48,61,84,43,98,98,98,52,68,54,59,69,272,
LevenbergMarquardtOptimizerTest::testOneSet ,93,1080,103,180,34,56,54,34,133,174,14,0,29,31,73,171,65,93,335,50,102,52,61,88,47,102,102,102,56,72,56,61,74,271,
LevenbergMarquardtOptimizerTest::testQRColumnsPermutation ,94,1087,88,193,16,49,51,45,151,191,31,29,0,13,57,189,54,79,346,56,108,37,53,73,52,87,87,87,46,58,57,51,61,280,
LevenbergMarquardtOptimizerTest::testRedundantEquations ,99,1091,83,194,5,49,49,42,152,194,30,31,13,0,55,197,49,74,347,52,107,32,49,68,48,82,82,82,41,53,53,47,54,284,
LevenbergMarquardtOptimizerTest::testTrivial ,113,1131,33,236,55,80,41,79,194,234,70,73,57,55,0,239,27,26,376,74,128,32,27,22,68,33,33,33,31,26,66,35,22,314,
LevenbergMarquardtOptimizerTest::testTwoSets ,203,966,266,140,201,184,213,170,71,31,180,171,189,197,239,0,232,259,241,178,162,215,227,254,179,265,265,265,223,237,198,220,240,172,
MinpackTest::testMinpackBard ,105,1126,38,230,47,77,27,68,185,227,61,65,54,49,27,232,0,29,364,60,118,25,7,23,54,39,39,39,15,17,51,17,13,303,
MinpackTest::testMinpackBox3Dimensional ,128,1151,12,258,72,100,50,94,212,253,89,93,79,74,26,259,29,0,388,87,143,47,33,9,82,11,11,11,38,25,72,40,23,329,
MinpackTest::testMinpackBrownAlmostLinear ,344,859,393,247,347,339,354,323,268,247,335,335,346,347,376,241,364,388,0,314,273,351,363,383,317,394,394,394,355,367,320,354,373,159,
MinpackTest::testMinpackBrownDennis ,90,1071,93,177,50,65,62,32,134,172,46,50,56,52,74,178,60,87,314,0,79,45,63,81,6,96,96,96,51,66,45,52,69,246,
MinpackTest::testMinpackChebyquad ,120,1036,149,169,106,103,114,95,129,157,100,102,108,107,128,162,118,143,273,79,0,106,120,137,82,148,148,148,111,120,84,109,127,206,
MinpackTest::testMinpackFreudensteinRoth ,96,1107,55,213,30,55,34,54,170,209,48,52,37,32,32,215,25,47,351,45,106,0,27,40,39,56,56,56,22,28,46,22,27,285,
MinpackTest::testMinpackHelicalValley ,104,1125,43,228,47,71,25,64,181,221,61,61,53,49,27,227,7,33,363,63,120,27,0,28,57,44,44,44,20,22,53,16,18,301,
MinpackTest::testMinpackJennrichSampson ,122,1145,16,253,66,94,46,89,207,248,84,88,73,68,22,254,23,9,383,81,137,40,28,0,76,16,16,16,32,21,67,35,15,324,
MinpackTest::testMinpackKowalikOsborne ,88,1075,91,177,46,64,56,29,134,173,43,47,52,48,68,179,54,82,317,6,82,39,57,76,1,92,92,92,45,60,42,46,63,249,
MinpackTest::testMinpackLinearFullRank ,134,1158,9,267,80,108,58,103,218,260,98,102,87,82,33,265,39,11,394,96,148,56,44,16,92,0,0,0,48,33,78,50,30,336,
MinpackTest::testMinpackLinearRank1 ,134,1158,9,267,80,108,58,103,218,260,98,102,87,82,33,265,39,11,394,96,148,56,44,16,92,0,0,0,48,33,78,50,30,336,
MinpackTest::testMinpackLinearRank1ZeroColsAndRows ,134,1158,9,267,80,108,58,103,218,260,98,102,87,82,33,265,39,11,394,96,148,56,44,16,92,0,0,0,48,33,78,50,30,336,
MinpackTest::testMinpackMeyer ,99,1117,47,221,39,68,31,57,176,217,52,56,46,41,31,223,15,38,355,51,111,22,20,32,45,48,48,48,0,21,46,23,23,293,
MinpackTest::testMinpackOsborne1 ,104,1131,33,237,51,80,27,73,190,231,68,72,58,53,26,237,17,25,367,66,120,28,22,21,60,33,33,33,21,0,49,22,16,307,
MinpackTest::testMinpackOsborne2 ,101,1088,78,209,51,70,50,53,156,192,54,56,57,53,66,198,51,72,320,45,84,46,53,67,42,78,78,78,46,49,0,47,61,259,
MinpackTest::testMinpackPowellSingular ,96,1116,50,219,45,67,24,59,174,215,59,61,51,47,35,220,17,40,354,52,109,22,16,35,46,50,50,50,23,22,47,0,24,292,
MinpackTest::testMinpackRosenbrok ,109,1133,30,239,52,80,38,76,194,236,69,74,61,54,22,240,13,23,373,69,127,27,18,15,63,30,30,30,23,16,61,24,0,312,
MinpackTest::testMinpackWatson ,283,880,336,179,284,274,294,259,197,178,272,271,280,284,314,172,303,329,159,246,206,285,301,324,249,336,336,336,293,307,259,292,312,0,
