:,TestISOPeriodFormat::testFormatAlternate,TestISOPeriodFormat::testFormatAlternateExtended,TestISOPeriodFormat::testFormatAlternateExtendedWithWeeks,TestISOPeriodFormat::testFormatAlternateWithWeeks,TestISOPeriodFormat::testFormatStandard,TestISOPeriodFormat::testFormatStandard_negative,TestISOPeriodFormat::testSubclassableConstructor,TestPeriodFormatterBuilder::testBug2495455,TestPeriodFormatterBuilder::testFormatAppendFormatter,TestPeriodFormatterBuilder::testFormatAppend_PrinterParserThenClear,TestPeriodFormatterBuilder::testFormatAppend_PrinterParser_PrinterParser,TestPeriodFormatterBuilder::testFormatAppend_PrinterParser_Printer_null,TestPeriodFormatterBuilder::testFormatAppend_PrinterParser_Printer_null_null_Parser,TestPeriodFormatterBuilder::testFormatAppend_PrinterParser_null_Parser,TestPeriodFormatterBuilder::testFormatAppend_PrinterParser_null_null,TestPeriodFormatterBuilder::testFormatDays,TestPeriodFormatterBuilder::testFormatHours,TestPeriodFormatterBuilder::testFormatLiteral,TestPeriodFormatterBuilder::testFormatMillis,TestPeriodFormatterBuilder::testFormatMillis3Digit,TestPeriodFormatterBuilder::testFormatMinDigits,TestPeriodFormatterBuilder::testFormatMinutes,TestPeriodFormatterBuilder::testFormatMonths,TestPeriodFormatterBuilder::testFormatPrefixPlural1,TestPeriodFormatterBuilder::testFormatPrefixPlural2,TestPeriodFormatterBuilder::testFormatPrefixPlural3,TestPeriodFormatterBuilder::testFormatPrefixSimple1,TestPeriodFormatterBuilder::testFormatPrefixSimple2,TestPeriodFormatterBuilder::testFormatPrefixSimple3,TestPeriodFormatterBuilder::testFormatPrefixSuffix,TestPeriodFormatterBuilder::testFormatPrintZeroAlways,TestPeriodFormatterBuilder::testFormatPrintZeroDefault,TestPeriodFormatterBuilder::testFormatPrintZeroIfSupported,TestPeriodFormatterBuilder::testFormatPrintZeroNever,TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirst,TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirstDays,TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirstHours,TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirstMinutes,TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirstMonths,TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirstSeconds,TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirstWeeks,TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirstYears,TestPeriodFormatterBuilder::testFormatPrintZeroRarelyLast,TestPeriodFormatterBuilder::testFormatSeconds,TestPeriodFormatterBuilder::testFormatSecondsWithMillis,TestPeriodFormatterBuilder::testFormatSecondsWithOptionalMillis,TestPeriodFormatterBuilder::testFormatSeparatorComplex,TestPeriodFormatterBuilder::testFormatSeparatorIfFieldsAfter,TestPeriodFormatterBuilder::testFormatSeparatorIfFieldsBefore,TestPeriodFormatterBuilder::testFormatSeparatorSimple,TestPeriodFormatterBuilder::testFormatSuffixPlural1,TestPeriodFormatterBuilder::testFormatSuffixPlural2,TestPeriodFormatterBuilder::testFormatSuffixPlural3,TestPeriodFormatterBuilder::testFormatSuffixPlural4,TestPeriodFormatterBuilder::testFormatSuffixSimple1,TestPeriodFormatterBuilder::testFormatSuffixSimple2,TestPeriodFormatterBuilder::testFormatSuffixSimple3,TestPeriodFormatterBuilder::testFormatSuffixSimple4,TestPeriodFormatterBuilder::testFormatWeeks,TestPeriodFormatterBuilder::testFormatYears,TestPeriodFormatterBuilder::testToFormatterPrinterParser,
TestISOPeriodFormat::testFormatAlternate ,0,0,0,0,0,23,26,25,24,24,23,25,24,23,26,24,24,25,24,24,23,24,24,23,24,27,24,24,27,24,20,22,20,20,21,26,26,26,26,26,26,26,21,24,114,114,23,25,25,25,23,24,27,27,24,24,27,27,24,24,27,
TestISOPeriodFormat::testFormatAlternateExtended ,0,0,0,0,0,23,26,25,24,24,23,25,24,23,26,24,24,25,24,24,23,24,24,23,24,27,24,24,27,24,20,22,20,20,21,26,26,26,26,26,26,26,21,24,114,114,23,25,25,25,23,24,27,27,24,24,27,27,24,24,27,
TestISOPeriodFormat::testFormatAlternateExtendedWithWeeks ,0,0,0,0,0,23,26,25,24,24,23,25,24,23,26,24,24,25,24,24,23,24,24,23,24,27,24,24,27,24,20,22,20,20,21,26,26,26,26,26,26,26,21,24,114,114,23,25,25,25,23,24,27,27,24,24,27,27,24,24,27,
TestISOPeriodFormat::testFormatAlternateWithWeeks ,0,0,0,0,0,23,26,25,24,24,23,25,24,23,26,24,24,25,24,24,23,24,24,23,24,27,24,24,27,24,20,22,20,20,21,26,26,26,26,26,26,26,21,24,114,114,23,25,25,25,23,24,27,27,24,24,27,27,24,24,27,
TestISOPeriodFormat::testFormatStandard ,0,0,0,0,0,23,26,25,24,24,23,25,24,23,26,24,24,25,24,24,23,24,24,23,24,27,24,24,27,24,20,22,20,20,21,26,26,26,26,26,26,26,21,24,114,114,23,25,25,25,23,24,27,27,24,24,27,27,24,24,27,
TestISOPeriodFormat::testFormatStandard_negative ,23,23,23,23,23,0,28,28,28,28,28,28,28,28,28,29,29,28,29,29,27,29,29,26,26,29,26,26,29,29,23,26,25,27,26,28,28,28,28,28,28,28,26,29,119,119,26,29,29,29,26,26,29,29,26,26,29,29,29,29,29,
TestISOPeriodFormat::testSubclassableConstructor ,26,26,26,26,26,28,0,3,4,5,11,3,5,12,3,16,16,4,16,16,5,16,16,18,18,7,18,18,2,16,20,22,18,17,17,0,0,0,0,0,0,0,17,16,129,129,14,12,12,12,18,18,7,1,18,18,2,1,16,16,1,
TestPeriodFormatterBuilder::testBug2495455 ,25,25,25,25,25,28,3,0,4,3,10,1,3,10,2,16,16,4,16,16,5,16,16,18,18,5,18,18,3,16,20,21,18,17,17,3,3,3,3,3,3,3,17,16,128,128,14,12,12,12,18,18,5,3,18,18,3,3,16,16,3,
TestPeriodFormatterBuilder::testFormatAppendFormatter ,24,24,24,24,24,28,4,4,0,4,10,3,4,10,3,14,14,3,14,13,3,14,14,16,16,5,16,16,4,13,18,19,15,13,14,4,4,4,4,4,4,4,14,14,126,126,10,9,9,9,16,16,5,5,16,16,4,5,14,14,5,
TestPeriodFormatterBuilder::testFormatAppend_PrinterParserThenClear ,24,24,24,24,24,28,5,3,4,0,9,2,0,10,2,15,15,5,15,15,4,15,15,17,17,4,17,17,4,15,18,20,16,15,15,5,5,5,5,5,5,5,15,15,125,125,12,10,10,10,17,17,4,5,17,17,4,5,15,15,5,
TestPeriodFormatterBuilder::testFormatAppend_PrinterParser_PrinterParser ,23,23,23,23,23,28,11,10,10,9,0,10,9,2,11,10,10,11,10,10,10,10,10,12,12,12,12,12,12,10,20,20,17,15,16,11,11,11,11,11,11,11,16,10,119,119,14,11,11,11,12,12,12,12,12,12,12,12,10,10,12,
TestPeriodFormatterBuilder::testFormatAppend_PrinterParser_Printer_null ,25,25,25,25,25,28,3,1,3,2,10,0,2,9,1,15,15,4,15,15,4,15,15,17,17,5,17,17,2,15,19,20,17,16,16,3,3,3,3,3,3,3,16,15,127,127,13,11,11,11,17,17,5,3,17,17,2,3,15,15,3,
TestPeriodFormatterBuilder::testFormatAppend_PrinterParser_Printer_null_null_Parser ,24,24,24,24,24,28,5,3,4,0,9,2,0,10,2,15,15,5,15,15,4,15,15,17,17,4,17,17,4,15,18,20,16,15,15,5,5,5,5,5,5,5,15,15,125,125,12,10,10,10,17,17,4,5,17,17,4,5,15,15,5,
TestPeriodFormatterBuilder::testFormatAppend_PrinterParser_null_Parser ,23,23,23,23,23,28,12,10,10,10,2,9,10,0,10,10,10,11,10,10,11,10,10,11,11,11,11,11,11,10,19,19,16,14,15,12,12,12,12,12,12,12,15,10,119,119,13,11,11,11,11,11,11,12,11,11,11,12,10,10,12,
TestPeriodFormatterBuilder::testFormatAppend_PrinterParser_null_null ,26,26,26,26,26,28,3,2,3,2,11,1,2,10,0,15,15,3,15,15,4,15,15,17,17,4,17,17,2,15,18,20,16,15,15,3,3,3,3,3,3,3,15,15,127,127,12,10,10,10,17,17,4,3,17,17,2,3,15,15,3,
TestPeriodFormatterBuilder::testFormatDays ,24,24,24,24,24,29,16,16,14,15,10,15,15,10,15,0,0,14,0,2,13,0,0,4,4,14,4,4,16,2,17,17,15,14,14,16,16,16,16,16,16,16,14,0,113,113,12,11,12,11,4,4,14,17,4,4,16,17,0,0,17,
TestPeriodFormatterBuilder::testFormatHours ,24,24,24,24,24,29,16,16,14,15,10,15,15,10,15,0,0,14,0,2,13,0,0,4,4,14,4,4,16,2,17,17,15,14,14,16,16,16,16,16,16,16,14,0,113,113,12,11,12,11,4,4,14,17,4,4,16,17,0,0,17,
TestPeriodFormatterBuilder::testFormatLiteral ,25,25,25,25,25,28,4,4,3,5,11,4,5,11,3,14,14,0,14,14,4,14,14,16,16,5,16,16,3,14,19,20,16,14,15,4,4,4,4,4,4,4,15,14,126,126,12,10,10,10,16,16,5,4,16,16,3,4,14,14,4,
TestPeriodFormatterBuilder::testFormatMillis ,24,24,24,24,24,29,16,16,14,15,10,15,15,10,15,0,0,14,0,2,13,0,0,4,4,14,4,4,16,2,17,17,15,14,14,16,16,16,16,16,16,16,14,0,113,113,12,11,12,11,4,4,14,17,4,4,16,17,0,0,17,
TestPeriodFormatterBuilder::testFormatMillis3Digit ,24,24,24,24,24,29,16,16,13,15,10,15,15,10,15,2,2,14,2,0,13,2,2,3,4,14,4,4,16,0,17,17,15,13,14,16,16,16,16,16,16,16,14,2,114,114,13,11,11,11,3,4,14,17,4,4,16,17,2,2,17,
TestPeriodFormatterBuilder::testFormatMinDigits ,23,23,23,23,23,27,5,5,3,4,10,4,4,11,4,13,13,4,13,13,0,13,13,14,14,6,14,14,5,13,16,17,14,13,12,5,5,5,5,5,5,5,12,13,124,124,10,9,9,9,14,14,6,6,14,14,5,6,13,13,6,
TestPeriodFormatterBuilder::testFormatMinutes ,24,24,24,24,24,29,16,16,14,15,10,15,15,10,15,0,0,14,0,2,13,0,0,4,4,14,4,4,16,2,17,17,15,14,14,16,16,16,16,16,16,16,14,0,113,113,12,11,12,11,4,4,14,17,4,4,16,17,0,0,17,
TestPeriodFormatterBuilder::testFormatMonths ,24,24,24,24,24,29,16,16,14,15,10,15,15,10,15,0,0,14,0,2,13,0,0,4,4,14,4,4,16,2,17,17,15,14,14,16,16,16,16,16,16,16,14,0,113,113,12,11,12,11,4,4,14,17,4,4,16,17,0,0,17,
TestPeriodFormatterBuilder::testFormatPrefixPlural1 ,23,23,23,23,23,26,18,18,16,17,12,17,17,11,17,4,4,16,4,3,14,4,4,0,1,16,1,1,18,3,14,17,13,14,13,18,18,18,18,18,18,18,13,4,112,112,13,13,13,13,0,1,16,19,1,1,18,19,4,4,19,
TestPeriodFormatterBuilder::testFormatPrefixPlural2 ,24,24,24,24,24,26,18,18,16,17,12,17,17,11,17,4,4,16,4,4,14,4,4,1,0,16,0,0,18,4,13,16,12,13,12,18,18,18,18,18,18,18,12,4,111,111,13,14,14,14,1,0,16,19,0,0,18,19,4,4,19,
TestPeriodFormatterBuilder::testFormatPrefixPlural3 ,27,27,27,27,27,29,7,5,5,4,12,5,4,11,4,14,14,5,14,14,6,14,14,16,16,0,16,16,5,14,17,19,15,14,14,7,7,7,7,7,7,7,14,14,126,126,10,8,8,8,16,16,0,6,16,16,5,6,14,14,6,
TestPeriodFormatterBuilder::testFormatPrefixSimple1 ,24,24,24,24,24,26,18,18,16,17,12,17,17,11,17,4,4,16,4,4,14,4,4,1,0,16,0,0,18,4,13,16,12,13,12,18,18,18,18,18,18,18,12,4,111,111,13,14,14,14,1,0,16,19,0,0,18,19,4,4,19,
TestPeriodFormatterBuilder::testFormatPrefixSimple2 ,24,24,24,24,24,26,18,18,16,17,12,17,17,11,17,4,4,16,4,4,14,4,4,1,0,16,0,0,18,4,13,16,12,13,12,18,18,18,18,18,18,18,12,4,111,111,13,14,14,14,1,0,16,19,0,0,18,19,4,4,19,
TestPeriodFormatterBuilder::testFormatPrefixSimple3 ,27,27,27,27,27,29,2,3,4,4,12,2,4,11,2,16,16,3,16,16,5,16,16,18,18,5,18,18,0,16,20,22,18,17,17,2,2,2,2,2,2,2,17,16,129,129,13,11,11,11,18,18,5,1,18,18,0,1,16,16,1,
TestPeriodFormatterBuilder::testFormatPrefixSuffix ,24,24,24,24,24,29,16,16,13,15,10,15,15,10,15,2,2,14,2,0,13,2,2,3,4,14,4,4,16,0,17,17,15,13,14,16,16,16,16,16,16,16,14,2,114,114,13,11,11,11,3,4,14,17,4,4,16,17,2,2,17,
TestPeriodFormatterBuilder::testFormatPrintZeroAlways ,20,20,20,20,20,23,20,20,18,18,20,19,18,19,18,17,17,19,17,17,16,17,17,14,13,17,13,13,20,17,0,10,6,9,7,20,20,20,20,20,20,20,7,17,111,111,12,15,15,15,14,13,17,21,13,13,20,21,17,17,21,
TestPeriodFormatterBuilder::testFormatPrintZeroDefault ,22,22,22,22,22,26,22,21,19,20,20,20,20,19,20,17,17,20,17,17,17,17,17,17,16,19,16,16,22,17,10,0,9,9,5,22,22,22,22,22,22,22,5,17,109,109,13,14,13,14,17,16,19,23,16,16,22,23,17,17,23,
TestPeriodFormatterBuilder::testFormatPrintZeroIfSupported ,20,20,20,20,20,25,18,18,15,16,17,17,16,16,16,15,15,16,15,15,14,15,15,13,12,15,12,12,18,15,6,9,0,5,4,18,18,18,18,18,18,18,4,15,113,114,11,12,12,12,13,12,15,19,12,12,18,19,15,15,19,
TestPeriodFormatterBuilder::testFormatPrintZeroNever ,20,20,20,20,20,27,17,17,13,15,15,16,15,14,15,14,14,14,14,13,13,14,14,14,13,14,13,13,17,13,9,9,5,0,4,17,17,17,17,17,17,17,4,14,114,114,9,11,11,11,14,13,14,18,13,13,17,18,14,14,18,
TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirst ,21,21,21,21,21,26,17,17,14,15,16,16,15,15,15,14,14,15,14,14,12,14,14,13,12,14,12,12,17,14,7,5,4,4,0,17,17,17,17,17,17,17,0,14,113,113,9,10,9,10,13,12,14,18,12,12,17,18,14,14,18,
TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirstDays ,26,26,26,26,26,28,0,3,4,5,11,3,5,12,3,16,16,4,16,16,5,16,16,18,18,7,18,18,2,16,20,22,18,17,17,0,0,0,0,0,0,0,17,16,129,129,14,12,12,12,18,18,7,1,18,18,2,1,16,16,1,
TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirstHours ,26,26,26,26,26,28,0,3,4,5,11,3,5,12,3,16,16,4,16,16,5,16,16,18,18,7,18,18,2,16,20,22,18,17,17,0,0,0,0,0,0,0,17,16,129,129,14,12,12,12,18,18,7,1,18,18,2,1,16,16,1,
TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirstMinutes ,26,26,26,26,26,28,0,3,4,5,11,3,5,12,3,16,16,4,16,16,5,16,16,18,18,7,18,18,2,16,20,22,18,17,17,0,0,0,0,0,0,0,17,16,129,129,14,12,12,12,18,18,7,1,18,18,2,1,16,16,1,
TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirstMonths ,26,26,26,26,26,28,0,3,4,5,11,3,5,12,3,16,16,4,16,16,5,16,16,18,18,7,18,18,2,16,20,22,18,17,17,0,0,0,0,0,0,0,17,16,129,129,14,12,12,12,18,18,7,1,18,18,2,1,16,16,1,
TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirstSeconds ,26,26,26,26,26,28,0,3,4,5,11,3,5,12,3,16,16,4,16,16,5,16,16,18,18,7,18,18,2,16,20,22,18,17,17,0,0,0,0,0,0,0,17,16,129,129,14,12,12,12,18,18,7,1,18,18,2,1,16,16,1,
TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirstWeeks ,26,26,26,26,26,28,0,3,4,5,11,3,5,12,3,16,16,4,16,16,5,16,16,18,18,7,18,18,2,16,20,22,18,17,17,0,0,0,0,0,0,0,17,16,129,129,14,12,12,12,18,18,7,1,18,18,2,1,16,16,1,
TestPeriodFormatterBuilder::testFormatPrintZeroRarelyFirstYears ,26,26,26,26,26,28,0,3,4,5,11,3,5,12,3,16,16,4,16,16,5,16,16,18,18,7,18,18,2,16,20,22,18,17,17,0,0,0,0,0,0,0,17,16,129,129,14,12,12,12,18,18,7,1,18,18,2,1,16,16,1,
TestPeriodFormatterBuilder::testFormatPrintZeroRarelyLast ,21,21,21,21,21,26,17,17,14,15,16,16,15,15,15,14,14,15,14,14,12,14,14,13,12,14,12,12,17,14,7,5,4,4,0,17,17,17,17,17,17,17,0,14,113,113,9,10,9,10,13,12,14,18,12,12,17,18,14,14,18,
TestPeriodFormatterBuilder::testFormatSeconds ,24,24,24,24,24,29,16,16,14,15,10,15,15,10,15,0,0,14,0,2,13,0,0,4,4,14,4,4,16,2,17,17,15,14,14,16,16,16,16,16,16,16,14,0,113,113,12,11,12,11,4,4,14,17,4,4,16,17,0,0,17,
TestPeriodFormatterBuilder::testFormatSecondsWithMillis ,114,114,114,114,114,119,129,128,126,125,119,127,125,119,127,113,113,126,113,114,124,113,113,112,111,126,111,111,129,114,111,109,113,114,113,129,129,129,129,129,129,129,113,113,0,3,119,121,121,120,112,111,126,130,111,111,129,130,113,113,130,
TestPeriodFormatterBuilder::testFormatSecondsWithOptionalMillis ,114,114,114,114,114,119,129,128,126,125,119,127,125,119,127,113,113,126,113,114,124,113,113,112,111,126,111,111,129,114,111,109,114,114,113,129,129,129,129,129,129,129,113,113,3,0,119,120,121,120,112,111,126,130,111,111,129,130,113,113,130,
TestPeriodFormatterBuilder::testFormatSeparatorComplex ,23,23,23,23,23,26,14,14,10,12,14,13,12,13,12,12,12,12,12,13,10,12,12,13,13,10,13,13,13,13,12,13,11,9,9,14,14,14,14,14,14,14,9,12,119,119,0,6,7,6,13,13,10,14,13,13,13,14,12,12,14,
TestPeriodFormatterBuilder::testFormatSeparatorIfFieldsAfter ,25,25,25,25,25,29,12,12,9,10,11,11,10,11,10,11,11,10,11,11,9,11,11,13,14,8,14,14,11,11,15,14,12,11,10,12,12,12,12,12,12,12,10,11,121,120,6,0,2,1,13,14,8,12,14,14,11,12,11,11,12,
TestPeriodFormatterBuilder::testFormatSeparatorIfFieldsBefore ,25,25,25,25,25,29,12,12,9,10,11,11,10,11,10,12,12,10,12,11,9,12,12,13,14,8,14,14,11,11,15,13,12,11,9,12,12,12,12,12,12,12,9,12,121,121,7,2,0,1,13,14,8,12,14,14,11,12,12,12,12,
TestPeriodFormatterBuilder::testFormatSeparatorSimple ,25,25,25,25,25,29,12,12,9,10,11,11,10,11,10,11,11,10,11,11,9,11,11,13,14,8,14,14,11,11,15,14,12,11,10,12,12,12,12,12,12,12,10,11,120,120,6,1,1,0,13,14,8,12,14,14,11,12,11,11,12,
TestPeriodFormatterBuilder::testFormatSuffixPlural1 ,23,23,23,23,23,26,18,18,16,17,12,17,17,11,17,4,4,16,4,3,14,4,4,0,1,16,1,1,18,3,14,17,13,14,13,18,18,18,18,18,18,18,13,4,112,112,13,13,13,13,0,1,16,19,1,1,18,19,4,4,19,
TestPeriodFormatterBuilder::testFormatSuffixPlural2 ,24,24,24,24,24,26,18,18,16,17,12,17,17,11,17,4,4,16,4,4,14,4,4,1,0,16,0,0,18,4,13,16,12,13,12,18,18,18,18,18,18,18,12,4,111,111,13,14,14,14,1,0,16,19,0,0,18,19,4,4,19,
TestPeriodFormatterBuilder::testFormatSuffixPlural3 ,27,27,27,27,27,29,7,5,5,4,12,5,4,11,4,14,14,5,14,14,6,14,14,16,16,0,16,16,5,14,17,19,15,14,14,7,7,7,7,7,7,7,14,14,126,126,10,8,8,8,16,16,0,6,16,16,5,6,14,14,6,
TestPeriodFormatterBuilder::testFormatSuffixPlural4 ,27,27,27,27,27,29,1,3,5,5,12,3,5,12,3,17,17,4,17,17,6,17,17,19,19,6,19,19,1,17,21,23,19,18,18,1,1,1,1,1,1,1,18,17,130,130,14,12,12,12,19,19,6,0,19,19,1,0,17,17,0,
TestPeriodFormatterBuilder::testFormatSuffixSimple1 ,24,24,24,24,24,26,18,18,16,17,12,17,17,11,17,4,4,16,4,4,14,4,4,1,0,16,0,0,18,4,13,16,12,13,12,18,18,18,18,18,18,18,12,4,111,111,13,14,14,14,1,0,16,19,0,0,18,19,4,4,19,
TestPeriodFormatterBuilder::testFormatSuffixSimple2 ,24,24,24,24,24,26,18,18,16,17,12,17,17,11,17,4,4,16,4,4,14,4,4,1,0,16,0,0,18,4,13,16,12,13,12,18,18,18,18,18,18,18,12,4,111,111,13,14,14,14,1,0,16,19,0,0,18,19,4,4,19,
TestPeriodFormatterBuilder::testFormatSuffixSimple3 ,27,27,27,27,27,29,2,3,4,4,12,2,4,11,2,16,16,3,16,16,5,16,16,18,18,5,18,18,0,16,20,22,18,17,17,2,2,2,2,2,2,2,17,16,129,129,13,11,11,11,18,18,5,1,18,18,0,1,16,16,1,
TestPeriodFormatterBuilder::testFormatSuffixSimple4 ,27,27,27,27,27,29,1,3,5,5,12,3,5,12,3,17,17,4,17,17,6,17,17,19,19,6,19,19,1,17,21,23,19,18,18,1,1,1,1,1,1,1,18,17,130,130,14,12,12,12,19,19,6,0,19,19,1,0,17,17,0,
TestPeriodFormatterBuilder::testFormatWeeks ,24,24,24,24,24,29,16,16,14,15,10,15,15,10,15,0,0,14,0,2,13,0,0,4,4,14,4,4,16,2,17,17,15,14,14,16,16,16,16,16,16,16,14,0,113,113,12,11,12,11,4,4,14,17,4,4,16,17,0,0,17,
TestPeriodFormatterBuilder::testFormatYears ,24,24,24,24,24,29,16,16,14,15,10,15,15,10,15,0,0,14,0,2,13,0,0,4,4,14,4,4,16,2,17,17,15,14,14,16,16,16,16,16,16,16,14,0,113,113,12,11,12,11,4,4,14,17,4,4,16,17,0,0,17,
TestPeriodFormatterBuilder::testToFormatterPrinterParser ,27,27,27,27,27,29,1,3,5,5,12,3,5,12,3,17,17,4,17,17,6,17,17,19,19,6,19,19,1,17,21,23,19,18,18,1,1,1,1,1,1,1,18,17,130,130,14,12,12,12,19,19,6,0,19,19,1,0,17,17,0,
